ITEM_ID,ADI,CV2,DEMAND_PATTERN
941029,1.3,0.614,Erratic
674117,1.29,1.93,Erratic
677055,1.26,1.302,Erratic
940549,1.23,0.599,Erratic
410008,1.22,0.618,Erratic
674115,1.21,2.095,Erratic
55000,1.2,2.256,Erratic
119019,1.2,0.98,Erratic
290015,1.2,1.294,Erratic
292015,1.2,0.681,Erratic
11810,1.18,1.002,Erratic
16014,1.18,1.287,Erratic
148600,1.17,0.645,Erratic
484008,1.17,1.676,Erratic
11622,1.16,0.515,Erratic
290045,1.15,0.837,Erratic
11801,1.14,2.364,Erratic
360465,1.14,0.615,Erratic
42008,1.13,0.58,Erratic
55179,1.13,3.653,Erratic
148602,1.13,0.611,Erratic
750865,1.13,0.6,Erratic
826125,1.13,0.585,Erratic
490154,1.12,1.434,Erratic
597035,1.12,2.936,Erratic
410007,1.11,0.774,Erratic
11809,1.1,1.65,Erratic
119024,1.1,0.501,Erratic
170027,1.1,0.816,Erratic
360455,1.1,0.832,Erratic
677307,1.1,1.461,Erratic
11607,1.09,0.511,Erratic
11594,1.08,0.939,Erratic
55185,1.08,1.15,Erratic
490155,1.08,1.432,Erratic
922079,1.08,0.66,Erratic
360403,1.07,0.671,Erratic
360415,1.07,0.699,Erratic
11504,1.06,1.292,Erratic
11602,1.06,0.751,Erratic
11944,1.06,1.151,Erratic
518055,1.06,0.931,Erratic
119026,1.05,0.572,Erratic
148505,1.05,4.568,Erratic
68005,1.04,1.75,Erratic
274015,1.04,0.65,Erratic
292005,1.03,0.607,Erratic
11804,1.02,2.781,Erratic
301015,1.02,0.762,Erratic
597033,1.02,0.642,Erratic
140225,1.01,1.135,Erratic
360405,1.01,0.797,Erratic
484009,1.01,19.032,Erratic
11460,171.0,0.0,Intermittent
11729,171.0,0.0,Intermittent
11812,171.0,0.0,Intermittent
11822,171.0,0.0,Intermittent
14007,171.0,0.0,Intermittent
14009,171.0,0.0,Intermittent
15023,171.0,0.0,Intermittent
21701,171.0,0.0,Intermittent
55220,171.0,0.0,Intermittent
70113,171.0,0.0,Intermittent
83009,171.0,0.0,Intermittent
83019,171.0,0.0,Intermittent
93021,171.0,0.0,Intermittent
93108,171.0,0.0,Intermittent
134015,171.0,0.0,Intermittent
162018,171.0,0.0,Intermittent
477006,171.0,0.0,Intermittent
673169,171.0,0.0,Intermittent
1000037,171.0,0.0,Intermittent
1000038,171.0,0.0,Intermittent
1001182,171.0,0.0,Intermittent
1003529,171.0,0.0,Intermittent
1003937,171.0,0.0,Intermittent
1004275,171.0,0.0,Intermittent
1005177,171.0,0.0,Intermittent
1005282,171.0,0.0,Intermittent
1005334,171.0,0.0,Intermittent
1005478,171.0,0.0,Intermittent
1005870,171.0,0.0,Intermittent
1005873,171.0,0.0,Intermittent
1005879,171.0,0.0,Intermittent
2080021,171.0,0.0,Intermittent
11181,85.5,0.002,Intermittent
11197,85.5,0.0,Intermittent
