so_number,store_id,dc_id,order_date,week
SO_20240101_STR_E01_0001,STR_E01,DC_EAST,2024-01-01,2024-W01
SO_20240108_STR_E01_0002,STR_E01,DC_EAST,2024-01-08,2024-W02
SO_20240108_STR_E02_0003,STR_E02,DC_EAST,2024-01-08,2024-W02
SO_20240108_STR_W01_0004,STR_W01,DC_WEST,2024-01-08,2024-W02
SO_20240122_STR_E01_0005,STR_E01,DC_EAST,2024-01-22,2024-W04
SO_20240122_STR_E02_0006,STR_E02,DC_EAST,2024-01-22,2024-W04
SO_20240122_STR_W01_0007,STR_W01,DC_WEST,2024-01-22,2024-W04
SO_20240129_STR_E01_0008,STR_E01,DC_EAST,2024-01-29,2024-W05
SO_20240129_STR_E02_0009,STR_E02,DC_EAST,2024-01-29,2024-W05
SO_20240129_STR_W01_0010,STR_W01,DC_WEST,2024-01-29,2024-W05
SO_20240205_STR_E01_0011,STR_E01,DC_EAST,2024-02-05,2024-W06
SO_20240205_STR_E02_0012,STR_E02,DC_EAST,2024-02-05,2024-W06
SO_20240205_STR_W01_0013,STR_W01,DC_WEST,2024-02-05,2024-W06
SO_20240212_STR_E02_0014,STR_E02,DC_EAST,2024-02-12,2024-W07
SO_20240212_STR_W01_0015,STR_W01,DC_WEST,2024-02-12,2024-W07
SO_20240219_STR_E01_0016,STR_E01,DC_EAST,2024-02-19,2024-W08
SO_20240226_STR_E01_0017,STR_E01,DC_EAST,2024-02-26,2024-W09
SO_20240226_STR_E02_0018,STR_E02,DC_EAST,2024-02-26,2024-W09
SO_20240226_STR_W01_0019,STR_W01,DC_WEST,2024-02-26,2024-W09
SO_20240311_STR_E01_0020,STR_E01,DC_EAST,2024-03-11,2024-W11
SO_20240311_STR_E02_0021,STR_E02,DC_EAST,2024-03-11,2024-W11
SO_20240311_STR_W01_0022,STR_W01,DC_WEST,2024-03-11,2024-W11
SO_20240318_STR_E01_0023,STR_E01,DC_EAST,2024-03-18,2024-W12
SO_20240318_STR_E02_0024,STR_E02,DC_EAST,2024-03-18,2024-W12
SO_20240318_STR_W01_0025,STR_W01,DC_WEST,2024-03-18,2024-W12
SO_20240325_STR_E01_0026,STR_E01,DC_EAST,2024-03-25,2024-W13
SO_20240325_STR_E02_0027,STR_E02,DC_EAST,2024-03-25,2024-W13
SO_20240325_STR_W01_0028,STR_W01,DC_WEST,2024-03-25,2024-W13
