po_number,dc_id,supplier_id,order_date,expected_date
PO_20240115_DC_EAST_0001,DC_EAST,SUP_001,2024-01-15,2024-01-21
PO_20240115_DC_EAST_0002,DC_EAST,SUP_001,2024-01-15,2024-01-19
PO_20240115_DC_EAST_0003,DC_EAST,SUP_001,2024-01-15,2024-01-21
PO_20240115_DC_WEST_0004,DC_WEST,SUP_001,2024-01-15,2024-01-18
PO_20240115_DC_WEST_0005,DC_WEST,SUP_001,2024-01-15,2024-01-21
PO_20240115_DC_WEST_0006,DC_WEST,SUP_001,2024-01-15,2024-01-21
PO_20240129_DC_EAST_0007,DC_EAST,SUP_001,2024-01-29,2024-02-04
PO_20240205_DC_EAST_0008,DC_EAST,SUP_001,2024-02-05,2024-02-11
PO_20240205_DC_EAST_0009,DC_EAST,SUP_001,2024-02-05,2024-02-12
PO_20240205_DC_WEST_0010,DC_WEST,SUP_001,2024-02-05,2024-02-08
PO_20240205_DC_WEST_0011,DC_WEST,SUP_001,2024-02-05,2024-02-12
PO_20240205_DC_WEST_0012,DC_WEST,SUP_001,2024-02-05,2024-02-09
PO_20240212_DC_EAST_0013,DC_EAST,SUP_001,2024-02-12,2024-02-15
PO_20240226_DC_EAST_0014,DC_EAST,SUP_001,2024-02-26,2024-03-01
PO_20240226_DC_EAST_0015,DC_EAST,SUP_001,2024-02-26,2024-02-29
PO_20240226_DC_WEST_0016,DC_WEST,SUP_001,2024-02-26,2024-03-01
PO_20240226_DC_WEST_0017,DC_WEST,SUP_001,2024-02-26,2024-03-04
PO_20240304_DC_WEST_0018,DC_WEST,SUP_001,2024-03-04,2024-03-11
PO_20240311_DC_EAST_0019,DC_EAST,SUP_001,2024-03-11,2024-03-16
PO_20240325_DC_EAST_0020,DC_EAST,SUP_001,2024-03-25,2024-04-01
PO_20240325_DC_EAST_0021,DC_EAST,SUP_001,2024-03-25,2024-03-28
PO_20240325_DC_EAST_0022,DC_EAST,SUP_001,2024-03-25,2024-03-30
PO_20240325_DC_WEST_0023,DC_WEST,SUP_001,2024-03-25,2024-03-28
PO_20240325_DC_WEST_0024,DC_WEST,SUP_001,2024-03-25,2024-03-30
PO_20240325_DC_WEST_0025,DC_WEST,SUP_001,2024-03-25,2024-04-01
PO_20240408_DC_EAST_0026,DC_EAST,SUP_001,2024-04-08,2024-04-15
PO_20240408_DC_EAST_0027,DC_EAST,SUP_001,2024-04-08,2024-04-11
PO_20240408_DC_WEST_0028,DC_WEST,SUP_001,2024-04-08,2024-04-11
PO_20240408_DC_WEST_0029,DC_WEST,SUP_001,2024-04-08,2024-04-15
PO_20240415_DC_EAST_0030,DC_EAST,SUP_001,2024-04-15,2024-04-20
PO_20240422_DC_WEST_0031,DC_WEST,SUP_001,2024-04-22,2024-04-29
PO_20240429_DC_EAST_0032,DC_EAST,SUP_001,2024-04-29,2024-05-04
PO_20240429_DC_EAST_0033,DC_EAST,SUP_001,2024-04-29,2024-05-02
PO_20240429_DC_WEST_0034,DC_WEST,SUP_001,2024-04-29,2024-05-02
PO_20240429_DC_WEST_0035,DC_WEST,SUP_001,2024-04-29,2024-05-04
PO_20240506_DC_EAST_0036,DC_EAST,SUP_001,2024-05-06,2024-05-12
PO_20240513_DC_WEST_0037,DC_WEST,SUP_001,2024-05-13,2024-05-19
PO_20240527_DC_EAST_0038,DC_EAST,SUP_001,2024-05-27,2024-06-03
PO_20240527_DC_EAST_0039,DC_EAST,SUP_001,2024-05-27,2024-05-30
PO_20240527_DC_EAST_0040,DC_EAST,SUP_001,2024-05-27,2024-06-03
PO_20240527_DC_WEST_0041,DC_WEST,SUP_001,2024-05-27,2024-05-31
PO_20240527_DC_WEST_0042,DC_WEST,SUP_001,2024-05-27,2024-06-02
PO_20240603_DC_EAST_0043,DC_EAST,SUP_001,2024-06-03,2024-06-07
PO_20240603_DC_EAST_0044,DC_EAST,SUP_001,2024-06-03,2024-06-06
PO_20240603_DC_WEST_0045,DC_WEST,SUP_001,2024-06-03,2024-06-09
