promo_group_name,category,brand,description
LAYS_POTATO_CHIPS_PROMO,Salty Snacks,LAYS,Lays potato chips holiday promotions
WISE_POTATO_CHIPS_PROMO,Salty Snacks,WISE,Wise potato chips holiday promotions
HERRS_POTATO_CHIPS_PROMO,Salty Snacks,HERRS,Herrs potato chips holiday promotions
DORITOS_TORTILLA_CHIPS_PROMO,Salty Snacks,DORITOS,Doritos tortilla chips holiday promotions
TOSTITOS_TORTILLA_CHIPS_PROMO,Salty Snacks,TOSTITOS,Tostitos tortilla chips holiday promotions
SNYDERS_PRETZELS_PROMO,Salty Snacks,SNYDER S OF HANOVER,Snyders of Hanover pretzels holiday promotions
PRIVATE_LABEL_PRETZELS_PROMO,Salty Snacks,PRIVATE LABEL,Private label pretzels holiday promotions
PEPSI_12PACK_PROMO,Carbonated Soft Drinks,PEPSI,Pepsi 12-pack holiday promotions
PEPSI_2LTR_PROMO,Carbonated Soft Drinks,PEPSI,Pepsi 2-liter holiday promotions
COCA_COLA_12PACK_PROMO,Carbonated Soft Drinks,COCA COLA,Coca-Cola 12-pack holiday promotions
COCA_COLA_2LTR_PROMO,Carbonated Soft Drinks,COCA COLA,Coca-Cola 2-liter holiday promotions
CANADA_DRY_12PACK_PROMO,Carbonated Soft Drinks,CANADA DRY,Canada Dry 12-pack holiday promotions
CANADA_DRY_2LTR_PROMO,Carbonated Soft Drinks,CANADA DRY,Canada Dry 2-liter holiday promotions
SCHWEPPES_12PACK_PROMO,Carbonated Soft Drinks,SCHWEPPES,Schweppes 12-pack holiday promotions
SCHWEPPES_2LTR_PROMO,Carbonated Soft Drinks,SCHWEPPES,Schweppes 2-liter holiday promotions
