promo_name,promo_group_name,event_type,start_date,end_date,demand_multiplier,post_promo_decay_days,post_promo_decay_shape
LAYS_BOGO_SUPER_BOWL_2013,LAYS_POTATO_CHIPS_PROMO,BOGO_Ad,2013-01-28,2013-02-03,2.3,7,LINEAR
LAYS_BOGO_EASTER_2013,LAYS_POTATO_CHIPS_PROMO,BOGO_Ad,2013-03-25,2013-03-31,2.3,7,LINEAR
LAYS_BOGO_MEMORIAL_DAY_2013,LAYS_POTATO_CHIPS_PROMO,BOGO_Ad,2013-05-27,2013-06-02,2.3,7,LINEAR
LAYS_BOGO_JULY4_2013,LAYS_POTATO_CHIPS_PROMO,BOGO_Ad,2013-07-01,2013-07-07,2.3,7,LINEAR
LAYS_BOGO_BACK_TO_SCHOOL_2013,LAYS_POTATO_CHIPS_PROMO,BOGO_Ad,2013-08-12,2013-08-18,2.3,7,LINEAR
LAYS_BOGO_LABOR_DAY_2013,LAYS_POTATO_CHIPS_PROMO,BOGO_Ad,2013-09-02,2013-09-08,2.3,7,LINEAR
LAYS_BOGO_THANKSGIVING_2013,LAYS_POTATO_CHIPS_PROMO,BOGO_Ad,2013-11-25,2013-12-01,2.3,7,LINEAR
LAYS_BOGO_CHRISTMAS_2013,LAYS_POTATO_CHIPS_PROMO,BOGO_Ad,2013-12-23,2013-12-29,2.3,7,LINEAR
WISE_2FOR5_SUPER_BOWL_2013,WISE_POTATO_CHIPS_PROMO,2for5_Ad,2013-01-28,2013-02-03,1.8,7,LINEAR
WISE_2FOR5_MEMORIAL_DAY_2013,WISE_POTATO_CHIPS_PROMO,2for5_Ad,2013-05-27,2013-06-02,1.8,7,LINEAR
WISE_2FOR5_JULY4_2013,WISE_POTATO_CHIPS_PROMO,2for5_Ad,2013-07-01,2013-07-07,1.8,7,LINEAR
WISE_2FOR5_LABOR_DAY_2013,WISE_POTATO_CHIPS_PROMO,2for5_Ad,2013-09-02,2013-09-08,1.8,7,LINEAR
WISE_2FOR5_THANKSGIVING_2013,WISE_POTATO_CHIPS_PROMO,2for5_Ad,2013-11-25,2013-12-01,1.8,7,LINEAR
WISE_2FOR5_CHRISTMAS_2013,WISE_POTATO_CHIPS_PROMO,2for5_Ad,2013-12-23,2013-12-29,1.8,7,LINEAR
HERRS_2FOR5_SUPER_BOWL_2013,HERRS_POTATO_CHIPS_PROMO,2for5_Ad,2013-01-28,2013-02-03,1.8,7,LINEAR
HERRS_2FOR5_MEMORIAL_DAY_2013,HERRS_POTATO_CHIPS_PROMO,2for5_Ad,2013-05-27,2013-06-02,1.8,7,LINEAR
HERRS_2FOR5_JULY4_2013,HERRS_POTATO_CHIPS_PROMO,2for5_Ad,2013-07-01,2013-07-07,1.8,7,LINEAR
HERRS_2FOR5_LABOR_DAY_2013,HERRS_POTATO_CHIPS_PROMO,2for5_Ad,2013-09-02,2013-09-08,1.8,7,LINEAR
HERRS_2FOR5_THANKSGIVING_2013,HERRS_POTATO_CHIPS_PROMO,2for5_Ad,2013-11-25,2013-12-01,1.8,7,LINEAR
HERRS_2FOR5_CHRISTMAS_2013,HERRS_POTATO_CHIPS_PROMO,2for5_Ad,2013-12-23,2013-12-29,1.8,7,LINEAR
TOSTITOS_BOGO_SUPER_BOWL_2013,TOSTITOS_TORTILLA_CHIPS_PROMO,BOGO_Ad,2013-01-28,2013-02-03,2.0,7,LINEAR
TOSTITOS_BOGO_EASTER_2013,TOSTITOS_TORTILLA_CHIPS_PROMO,BOGO_Ad,2013-03-25,2013-03-31,2.0,7,LINEAR
