store_id,store_name,country_code,store_type,region,division,district
STR_E01,Manhattan Flagship,US,RETAIL,East,Northeast,NYC Metro
STR_E02,Brooklyn Heights,US,RETAIL,East,Northeast,NYC Metro
STR_E03,Philadelphia Center City,US,RETAIL,East,Mid-Atlantic,Philadelphia Metro
STR_E04,Boston Back Bay,US,RETAIL,East,New England,Boston Metro
STR_E05,Washington DC Georgetown,US,RETAIL,East,Mid-Atlantic,DC Metro
STR_W01,Los Angeles Downtown,US,RETAIL,West,Pacific,LA Metro
STR_W02,San Francisco Union Square,US,RETAIL,West,Pacific,SF Bay Area
STR_W03,Seattle Capitol Hill,US,RETAIL,West,Pacific Northwest,Seattle Metro
STR_W04,San Diego Mission Valley,US,RETAIL,West,Pacific,San Diego Metro
STR_W05,Portland Pearl District,US,RETAIL,West,Pacific Northwest,Portland Metro
