promo_name,promo_group_name,event_type,start_date,end_date,demand_multiplier,post_promo_decay_days,post_promo_decay_shape
LAYS_BOGO_SUPER_BOWL_2024,LAYS_POTATO_CHIPS_PROMO,BOGO_Ad,2024-01-28,2024-02-03,2.3,7,LINEAR
LAYS_BOGO_EASTER_2024,LAYS_POTATO_CHIPS_PROMO,BOGO_Ad,2024-03-25,2024-03-31,2.3,7,LINEAR
LAYS_BOGO_MEMORIAL_DAY_2024,LAYS_POTATO_CHIPS_PROMO,BOGO_Ad,2024-05-27,2024-06-02,2.3,7,LINEAR
LAYS_BOGO_JULY4_2024,LAYS_POTATO_CHIPS_PROMO,BOGO_Ad,2024-07-01,2024-07-07,2.3,7,LINEAR
LAYS_BOGO_BACK_TO_SCHOOL_2024,LAYS_POTATO_CHIPS_PROMO,BOGO_Ad,2024-08-12,2024-08-18,2.3,7,LINEAR
LAYS_BOGO_LABOR_DAY_2024,LAYS_POTATO_CHIPS_PROMO,BOGO_Ad,2024-09-02,2024-09-08,2.3,7,LINEAR
LAYS_BOGO_THANKSGIVING_2024,LAYS_POTATO_CHIPS_PROMO,BOGO_Ad,2024-11-25,2024-12-01,2.3,7,LINEAR
LAYS_BOGO_CHRISTMAS_2024,LAYS_POTATO_CHIPS_PROMO,BOGO_Ad,2024-12-23,2024-12-29,2.3,7,LINEAR
PEPSI_12PK_B2G2_SUPER_BOWL_2024,PEPSI_12PACK_PROMO,B2G2_Free_Ad,2024-01-28,2024-02-03,4.0,7,LINEAR
PEPSI_12PK_B2G2_EASTER_2024,PEPSI_12PACK_PROMO,B2G2_Free_Ad,2024-03-25,2024-03-31,4.0,7,LINEAR
PEPSI_12PK_B2G2_MEMORIAL_DAY_2024,PEPSI_12PACK_PROMO,B2G2_Free_Ad,2024-05-27,2024-06-02,4.0,7,LINEAR
PEPSI_12PK_B2G2_JULY4_2024,PEPSI_12PACK_PROMO,B2G2_Free_Ad,2024-07-01,2024-07-07,4.0,7,LINEAR
PEPSI_12PK_B2G2_BACK_TO_SCHOOL_2024,PEPSI_12PACK_PROMO,B2G2_Free_Ad,2024-08-12,2024-08-18,4.0,7,LINEAR
PEPSI_12PK_B2G2_LABOR_DAY_2024,PEPSI_12PACK_PROMO,B2G2_Free_Ad,2024-09-02,2024-09-08,4.0,7,LINEAR
PEPSI_12PK_B2G2_THANKSGIVING_2024,PEPSI_12PACK_PROMO,B2G2_Free_Ad,2024-11-25,2024-12-01,4.0,7,LINEAR
PEPSI_12PK_B2G2_CHRISTMAS_2024,PEPSI_12PACK_PROMO,B2G2_Free_Ad,2024-12-23,2024-12-29,4.0,7,LINEAR
COLA_2LTR_3FOR5_SUPER_BOWL_2024,COCA_COLA_2LTR_PROMO,3for5_Ad,2024-01-28,2024-02-03,3.2,7,LINEAR
COLA_2LTR_3FOR5_EASTER_2024,COCA_COLA_2LTR_PROMO,3for5_Ad,2024-03-25,2024-03-31,3.2,7,LINEAR
COLA_2LTR_3FOR5_MEMORIAL_DAY_2024,COCA_COLA_2LTR_PROMO,3for5_Ad,2024-05-27,2024-06-02,3.2,7,LINEAR
COLA_2LTR_3FOR5_JULY4_2024,COCA_COLA_2LTR_PROMO,3for5_Ad,2024-07-01,2024-07-07,3.2,7,LINEAR
COLA_2LTR_3FOR5_BACK_TO_SCHOOL_2024,COCA_COLA_2LTR_PROMO,3for5_Ad,2024-08-12,2024-08-18,3.2,7,LINEAR
COLA_2LTR_3FOR5_LABOR_DAY_2024,COCA_COLA_2LTR_PROMO,3for5_Ad,2024-09-02,2024-09-08,3.2,7,LINEAR
COLA_2LTR_3FOR5_THANKSGIVING_2024,COCA_COLA_2LTR_PROMO,3for5_Ad,2024-11-25,2024-12-01,3.2,7,LINEAR
COLA_2LTR_3FOR5_CHRISTMAS_2024,COCA_COLA_2LTR_PROMO,3for5_Ad,2024-12-23,2024-12-29,3.2,7,LINEAR
COLA_2LTR_199_CHRISTMAS_2024,COCA_COLA_2LTR_PROMO,1.99_Ad,2024-12-23,2024-12-29,8.0,7,LINEAR
